GEO_ID,STATE,COUNTY,NAME,LSAD,CENSUSAREA,geometry
0500000US36063,36,063,Niagara,County,522.359,"POLYGON ((-78.828805 43.030139, -78.945262 43.066956, -79.009664 43.069558, -79.028353 43.066897, -79.02865300000001 43.069474, -79.05839899999999 43.075231, -79.06626900000001 43.09097, -79.05676699999999 43.126855, -79.044066 43.138055, -79.042366 43.143655, -79.05839899999999 43.238924, -79.070469 43.262454, -79.019848 43.273686, -78.97186600000001 43.281254, -78.930764 43.293254, -78.859362 43.310955, -78.83626099999999 43.318455, -78.83406100000001 43.317555, -78.777759 43.327055, -78.747158 43.334555, -78.696856 43.341255, -78.63434599999999 43.357624, -78.54739499999999 43.369541, -78.488857 43.374763, -78.48252599999999 43.374425, -78.473099 43.370812, -78.465502 43.371232, -78.46642900000001 43.302775, -78.460416 43.216222, -78.46550499999999 43.128619, -78.46430599999999 43.091514, -78.464449 43.088703, -78.73360599999999 43.084219, -78.828805 43.030139))"
0500000US36071,36,071,Orange,County,811.686,"POLYGON ((-73.953307 41.589977, -73.997609 41.487212, -74.000108 41.456549, -73.981486 41.438905, -73.98138400000001 41.324693, -74.161789 41.195794, -74.23447299999999 41.142883, -74.365664 41.2034, -74.392098 41.215594, -74.457584 41.248225, -74.694914 41.357423, -74.689767 41.361558, -74.691129 41.367324, -74.752562 41.426518, -74.75595 41.426804, -74.752399 41.493743, -74.47559099999999 41.504334, -74.36705499999999 41.590977, -74.264093 41.632738, -74.12639299999999 41.582544, -73.953307 41.589977))"
0500000US36073,36,073,Orleans,County,391.259,"POLYGON ((-77.995665 43.287448, -77.995723 43.284963, -77.99729000000001 43.132981, -78.410876 43.130643, -78.46550499999999 43.128619, -78.460416 43.216222, -78.46642900000001 43.302775, -78.465502 43.371232, -78.370221 43.376505, -78.358711 43.373988, -78.250641 43.370866, -78.233609 43.36907, -78.145195 43.37551, -78.10450899999999 43.375628, -78.02360899999999 43.366575, -77.995591 43.365293, -77.995665 43.287448))"
0500000US36075,36,075,Oswego,County,951.65,"POLYGON ((-76.479224 43.227519, -76.605012 43.25357, -76.617109 43.419137, -76.60709300000001 43.423374, -76.562826 43.448537, -76.53180999999999 43.460299, -76.52199899999999 43.468617, -76.515882 43.471136, -76.50685799999999 43.469127, -76.48696200000001 43.47535, -76.472498 43.492781, -76.437473 43.509213, -76.417581 43.521285, -76.410636 43.523159, -76.368849 43.525822, -76.34549199999999 43.513437, -76.330911 43.511978, -76.29710300000001 43.51287, -76.25985799999999 43.524728, -76.235834 43.529256, -76.228701 43.532987, -76.217958 43.545156, -76.209853 43.560136, -76.203473 43.574978, -76.199138 43.600454, -76.196596 43.649761, -76.20050000000001 43.680231, -76.022003 43.668143, -76.025087 43.707018, -75.774553 43.688884, -75.756213 43.470388, -75.814627 43.483578, -75.88675600000001 43.325021, -75.884275 43.155562, -75.927453 43.162738, -75.932778 43.176583, -75.95559900000001 43.172182, -75.95935900000001 43.180389, -75.973438 43.179898, -75.979489 43.177401, -75.98689400000001 43.183938, -75.992428 43.185164, -75.993394 43.183376, -76.202944 43.271605, -76.258951 43.237468, -76.479224 43.227519))"
0500000US36081,36,081,Queens,County,108.532,"POLYGON ((-73.868917 40.69515, -73.874021 40.694191, -73.88957499999999 40.68418, -73.896497 40.682447, -73.904425 40.695671, -73.912058 40.703446, -73.92147300000001 40.709004, -73.92386500000001 40.720056, -73.92922299999999 40.727849, -73.93733899999999 40.72992, -73.947064 40.737516, -73.95473200000001 40.739292, -73.96118800000001 40.737091, -73.962795 40.737674, -73.961544 40.743081, -73.95829999999999 40.745731, -73.95492 40.751509, -73.943951 40.764434, -73.940844 40.767399, -73.936536 40.769835, -73.93519000000001 40.771745, -73.938076 40.772551, -73.938399 40.774606, -73.93508 40.779218, -73.92797 40.776762, -73.91631599999999 40.786601, -73.910551 40.790988, -73.91250599999999 40.79618, -73.899809 40.792524, -73.892205 40.79038, -73.890586 40.790145, -73.88991799999999 40.787398, -73.884867 40.786621, -73.870992 40.786979, -73.86670700000001 40.793653, -73.86270399999999 40.797276, -73.83054799999999 40.803162, -73.811001 40.805077, -73.793403 40.799881, -73.78596400000001 40.800862, -73.781369 40.794907, -73.776032 40.795275, -73.76843100000001 40.800704, -73.74675999999999 40.780382, -73.70174400000001 40.75253, -73.700872 40.746866, -73.700582 40.743184, -73.754323 40.586357, -73.753349 40.59056, -73.774928 40.590759, -73.80143 40.585659, -73.80683399999999 40.584619, -73.834408 40.577201, -73.878906 40.560888, -73.934512 40.545175, -73.934466 40.555281, -73.93272899999999 40.560266, -73.935686 40.564914, -73.938598 40.566161, -73.849852 40.588669, -73.86049 40.654655, -73.85566 40.663802, -73.866027 40.681918, -73.868917 40.69515))"
0500000US36087,36,087,Rockland,County,173.55,"POLYGON ((-73.947965 41.223101, -73.931482 41.204994, -73.90928099999999 41.164395, -73.895381 41.153995, -73.88718 41.133095, -73.89488 41.082396, -73.8947 41.069937, -73.88938 41.037597, -73.893979 40.997197, -73.90268 40.997297, -73.91188 41.001297, -74.041049 41.059086, -74.041054 41.059088, -74.09248599999999 41.081896, -74.09678599999999 41.083796, -74.213373 41.133828, -74.23447299999999 41.142883, -74.161789 41.195794, -73.98138400000001 41.324693, -73.982584 41.321693, -73.947965 41.223101))"
0500000US36089,36,089,St. Lawrence,County,2680.377,"POLYGON ((-74.72498 45.005915, -74.72030700000001 44.953011, -74.64187200000001 44.952621, -74.525683 44.170636, -74.535156 44.09925, -74.85417099999999 44.070089, -75.06277900000001 44.0504, -75.170159 44.096959, -75.446124 44.217655, -75.86006 44.403282, -75.82083 44.432244, -75.807778 44.471644, -75.765495 44.516285, -75.696586 44.567583, -75.491201 44.712947, -75.43312400000001 44.750062, -75.333744 44.806378, -75.301975 44.826637, -75.30763 44.836813, -75.283136 44.849156, -75.216486 44.877478, -75.189313 44.883037, -75.13986800000001 44.896676, -75.064826 44.929449, -75.027125 44.946568, -75.005155 44.958402, -74.999655 44.965921, -74.99927 44.971638, -74.992756 44.977449, -74.972463 44.983402, -74.826578 45.01585, -74.801625 45.014571, -74.72498 45.005915))"
0500000US36093,36,093,Schenectady,County,204.516,"POLYGON ((-74.180274 42.729979, -74.272295 42.71427, -74.26331399999999 42.796534, -74.083883 42.897354, -74.09298 42.955868, -73.895938 42.851076, -73.809369 42.778869, -73.809603 42.775016, -74.180274 42.729979))"
0500000US36099,36,099,Seneca,County,323.705,"POLYGON ((-76.96335000000001 42.90302, -76.963926 43.013157, -76.71380600000001 43.024035, -76.73674 42.970286, -76.73345399999999 42.727895, -76.666543 42.623457, -76.585989 42.54991, -76.69665500000001 42.54679, -76.895596 42.541537, -76.895349 42.656255, -76.97139199999999 42.764223, -76.96335000000001 42.90302))"
0500000US36103,36,103,Suffolk,County,912.051,"MULTIPOLYGON (((-72.13222500000001 41.104387, -72.12835200000001 41.108131, -72.126704 41.115139, -72.08420700000001 41.101524, -72.08116699999999 41.09394, -72.086975 41.058292, -72.09571099999999 41.05402, -72.0972 41.054884, -72.09713600000001 41.075844, -72.10315199999999 41.086484, -72.10639999999999 41.088883, -72.12056 41.093171, -72.139233 41.092451, -72.141921 41.094371, -72.142929 41.097811, -72.140737 41.100835, -72.13222500000001 41.104387)), ((-71.943563 41.286675, -71.926802 41.290122, -71.935259 41.280579, -71.94627 41.276306, -71.962598 41.270968, -71.978926 41.265002, -71.99471699999999 41.256451, -72.002461 41.252867, -72.036846 41.249794, -72.034958 41.255458, -72.029438 41.26309, -72.023422 41.270994, -72.01892599999999 41.274114, -72.006872 41.27348, -71.991117 41.281331, -71.98006100000001 41.280291, -71.95286400000001 41.285098, -71.943563 41.286675)), ((-73.454172 40.834097, -73.497061 40.922801, -73.49664199999999 40.923476, -73.491765 40.942097, -73.485365 40.946397, -73.484798 40.946065, -73.48011 40.943319, -73.478365 40.942297, -73.47441000000001 40.941056, -73.463708 40.937697, -73.46060300000001 40.937375, -73.456523 40.936953, -73.445026 40.935763, -73.43750900000001 40.934985, -73.43666399999999 40.934897, -73.429863 40.929797, -73.429665 40.928203, -73.428836 40.921506, -73.406074 40.920235, -73.402963 40.925097, -73.403462 40.942197, -73.400862 40.953997, -73.399762 40.955197, -73.39286199999999 40.955297, -73.37446199999999 40.937597, -73.365961 40.931697, -73.352761 40.926697, -73.345561 40.925297, -73.344161 40.927297, -73.33136 40.929597, -73.295061 40.924497, -73.29505899999999 40.924497, -73.229285 40.905121, -73.148994 40.928898, -73.146242 40.935074, -73.144673 40.955842, -73.14078499999999 40.966178, -73.11036799999999 40.971938, -73.081582 40.973058, -73.043701 40.962185, -73.04044500000001 40.964498, -72.995931 40.966498, -72.955163 40.966146, -72.91383399999999 40.962466, -72.88825 40.962962, -72.82605700000001 40.969794, -72.77410399999999 40.965314, -72.760031 40.975334, -72.71442500000001 40.985596, -72.689341 40.989776, -72.665018 40.987496, -72.635374 40.990536, -72.58532700000001 40.997587, -72.565406 41.009508, -72.560974 41.015444, -72.549853 41.019844, -72.521548 41.037652, -72.477306 41.052212, -72.460778 41.067012, -72.44524199999999 41.086116, -72.417945 41.087955, -72.39700000000001 41.096307, -72.356087 41.133635, -72.33335099999999 41.138018, -72.32238099999999 41.140664, -72.29110900000001 41.155874, -72.278789 41.158722, -72.272997 41.15501, -72.2681 41.154146, -72.24534800000001 41.161217, -72.23821100000001 41.15949, -72.237731 41.156434, -72.25357200000001 41.137138, -72.265124 41.128482, -72.30037400000001 41.112274, -72.300044 41.132059, -72.306381 41.13784, -72.31273400000001 41.138546, -72.318146 41.137134, -72.32662999999999 41.132162, -72.33527100000001 41.120274, -72.335177 41.106917, -72.317238 41.088659, -72.297718 41.081042, -72.280373 41.080402, -72.276709 41.076722, -72.28309299999999 41.067874, -72.273657 41.051533, -72.260515 41.042065, -72.241252 41.04477, -72.229364 41.044355, -72.217476 41.040611, -72.201859 41.032275, -72.190563 41.032579, -72.183266 41.035619, -72.17949 41.038435, -72.174882 41.046147, -72.162898 41.053187, -72.16037 41.053827, -72.153857 41.051859, -72.137297 41.039684, -72.135137 41.031284, -72.13740900000001 41.023908, -72.11636799999999 40.999796, -72.109008 40.994084, -72.10216 40.991509, -72.095456 40.991349, -72.083039 40.996453, -72.07995099999999 41.003429, -72.07920799999999 41.006437, -72.07617500000001 41.009093, -72.061448 41.009442, -72.057934 41.004789, -72.057075 41.004893, -72.055188 41.005236, -72.051585 41.006437, -72.049526 41.009697, -72.05154899999999 41.015741, -72.051928 41.020506, -72.04746799999999 41.022565, -72.035792 41.020759, -72.015013 41.028348, -71.99926000000001 41.039669, -71.96704 41.047772, -71.961078 41.054277, -71.96035500000001 41.059878, -71.961563 41.064021, -71.95959499999999 41.071237, -71.93825 41.077413, -71.91938500000001 41.080517, -71.89925599999999 41.080837, -71.89549599999999 41.077381, -71.889543 41.075701, -71.869558 41.075046, -71.86447 41.076918, -71.857494 41.073558, -71.85621399999999 41.070598, -71.87391 41.052278, -71.90373599999999 41.040166, -71.935689 41.034182, -72.029357 40.999909, -72.114448 40.972085, -72.39585 40.86666, -72.46999599999999 40.84274, -72.573441 40.813251, -72.74520800000001 40.767091, -72.753112 40.763571, -72.757176 40.764371, -72.768152 40.761587, -72.863164 40.732962, -72.923214 40.713282, -73.012545 40.679651, -73.054963 40.666371, -73.14526600000001 40.645491, -73.20844 40.630884, -73.23914000000001 40.6251, -73.262106 40.621476, -73.264493 40.621437, -73.30639600000001 40.620756, -73.30974000000001 40.622532, -73.31925699999999 40.635795, -73.351465 40.6305, -73.39196699999999 40.617501, -73.423806 40.609869, -73.425586 40.656291, -73.424618 40.666272, -73.423269 40.670893, -73.424758 40.679052, -73.440967 40.764399, -73.454172 40.834097)))"
